Filename,Center_X,Center_Y,Width,Height
date_1-6-2024_10.0.11_1.png,259,47,5,5
date_1-6-2024_13.0.11_1.png,259,47,5,5
date_1-6-2024_15.0.11_1.png,259,46,5,5
date_13-5-2024_12.8.2_1.png,385,53,5,5
date_2-6-2024_10.0.11_1.png,259,45,5,5
date_2-6-2024_13.0.10_1.png,256,29,5,5
date_2-6-2024_15.0.11_1.png,258,46,5,5
date_23-5-2024_12.43.0_1.png,307,41,5,5
date_23-5-2024_15.0.7_1.png,267,48,5,5
date_24-5-2024_10.0.11_1.png,267,46,5,5
date_24-5-2024_13.0.10_1.png,266,46,5,5
date_24-5-2024_15.0.11_1.png,266,45,5,5
date_25-5-2024_10.0.11_1.png,263,44,5,5
date_25-5-2024_13.0.10_1.png,261,42,5,5
date_25-5-2024_15.0.10_1.png,262,45,5,5
date_26-5-2024_10.0.11_1.png,264,47,5,5
date_26-5-2024_13.0.10_1.png,260,46,5,5
date_26-5-2024_15.0.10_1.png,260,45,5,5
date_27-5-2024_10.0.11_1.png,262,46,5,5
date_27-5-2024_13.0.10_1.png,259,45,5,5
date_27-5-2024_15.0.11_1.png,260,44,5,5
date_28-5-2024_10.0.11_1.png,263,45,5,5
date_28-5-2024_13.0.10_1.png,259,45,5,5
date_28-5-2024_15.0.11_1.png,259,46,5,5
date_29-5-2024_10.0.11_1.png,262,50,5,5
date_29-5-2024_13.0.10_1.png,259,47,5,5
date_29-5-2024_15.0.11_1.png,259,51,5,5
date_3-6-2024_10.0.11_1.png,252,46,5,5
date_3-6-2024_13.0.10_1.png,251,47,5,5
date_3-6-2024_15.0.10_1.png,247,41,5,5
date_30-5-2024_10.0.11_1.png,261,44,5,5
date_30-5-2024_10.0.11_1.png,261,46,5,5
date_30-5-2024_13.0.10_1.png,260,46,5,5
date_30-5-2024_15.0.11_1.png,258,45,5,5
date_31-5-2024_10.0.11_1.png,260,49,5,5
date_31-5-2024_13.0.11_1.png,259,48,5,5
date_31-5-2024_15.0.11_1.png,260,48,5,5
date_4-6-2024_13.0.11_1.png,248,39,5,5
date_4-6-2024_15.0.11_1.png,247,35,5,5
date_5-6-2024_10.0.11_1.png,247,43,5,5
date_5-6-2024_13.0.10_1.png,245,37,5,5
date_5-6-2024_15.0.10_1.png,247,43,5,5
date_6-6-2024_10.0.11_1.png,247,45,5,5
