Filename,Center_X,Center_Y,Width,Height
date_1-5-2024_10.0.11_1.png,411,234,5,5
date_1-5-2024_13.0.11_1.png,411,230,5,5
date_1-5-2024_15.0.11_1.png,410,228,5,5
date_1-6-2024_10.0.11_1.png,293,254,5,5
date_1-6-2024_13.0.11_1.png,292,254,5,5
date_1-6-2024_15.0.11_1.png,292,253,5,5
date_10-5-2024_10.0.10_1.png,416,236,5,5
date_10-5-2024_13.0.6_1.png,417,233,5,5
date_10-5-2024_15.0.7_1.png,415,232,5,5
date_11-5-2024_10.0.10_1.png,416,233,5,5
date_11-5-2024_12.23.0_1.png,429,243,5,5
date_13-5-2024_15.0.11_1.png,360,231,5,5
date_14-5-2024_10.0.11_1.png,361,230,5,5
date_14-5-2024_13.0.10_1.png,362,229,5,5
date_14-5-2024_15.0.11_1.png,360,232,5,5
date_15-5-2024_10.0.11_1.png,361,226,5,5
date_15-5-2024_13.0.10_1.png,361,221,5,5
date_15-5-2024_15.0.11_1.png,361,226,5,5
date_16-5-2024_10.0.11_1.png,361,225,5,5
date_16-5-2024_13.0.10_1.png,361,224,5,5
date_16-5-2024_15.0.10_1.png,360,219,5,5
date_17-5-2024_10.0.10_1.png,360,227,5,5
date_17-5-2024_13.0.10_1.png,362,235,5,5
date_17-5-2024_15.0.11_1.png,360,229,5,5
date_18-5-2024_10.0.11_1.png,361,228,5,5
date_18-5-2024_13.0.11_1.png,362,226,5,5
date_18-5-2024_15.0.11_1.png,360,227,5,5
date_19-5-2024_10.0.10_1.png,361,227,5,5
date_19-5-2024_13.0.10_1.png,361,225,5,5
date_19-5-2024_15.0.11_1.png,360,222,5,5
date_2-5-2024_10.0.10_1.png,412,234,5,5
date_2-5-2024_13.0.11_1.png,412,236,5,5
date_2-5-2024_15.0.11_1.png,412,233,5,5
date_2-6-2024_10.0.10_1.png,293,254,5,5
date_2-6-2024_13.0.10_1.png,290,246,5,5
date_2-6-2024_15.0.10_1.png,291,250,5,5
date_20-5-2024_10.0.10_1.png,362,230,5,5
date_20-5-2024_13.0.10_1.png,361,227,5,5
date_20-5-2024_15.0.11_1.png,361,228,5,5
date_21-5-2024_10.0.11_1.png,361,221,5,5
date_21-5-2024_13.0.11_1.png,360,227,5,5
date_21-5-2024_15.0.10_1.png,360,225,5,5
date_22-5-2024_10.0.11_1.png,358,210,5,5
date_22-5-2024_13.0.10_1.png,360,233,5,5
date_22-5-2024_15.0.10_1.png,360,229,5,5
date_23-5-2024_10.0.10_1.png,361,224,5,5
date_23-5-2024_12.22.37_1.png,371,265,5,5
date_23-5-2024_15.0.10_1.png,285,250,5,5
date_25-5-2024_10.0.11_1.png,284,240,5,5
date_25-5-2024_13.0.11_1.png,285,241,5,5
date_25-5-2024_15.0.11_1.png,286,247,5,5
date_26-5-2024_10.0.10_1.png,287,248,5,5
date_26-5-2024_13.0.10_1.png,288,245,5,5
date_26-5-2024_15.0.11_1.png,288,247,5,5
date_27-4-2024_10.0.11_1.png,406,232,5,5
date_27-4-2024_13.0.7_1.png,406,233,5,5
date_27-4-2024_15.0.11_1.png,405,227,5,5
date_28-4-2024_10.0.11_1.png,405,233,5,5
date_28-4-2024_13.0.10_1.png,404,219,5,5
date_28-4-2024_15.0.10_1.png,406,222,5,5
date_28-5-2024_10.0.11_1.png,288,248,5,5
date_28-5-2024_13.0.11_1.png,288,248,5,5
date_29-4-2024_10.5.58_1.png,407,239,5,5
date_29-4-2024_13.0.11_1.png,406,236,5,5
date_29-4-2024_15.0.11_1.png,406,236,5,5
date_29-5-2024_10.0.11_1.png,287,248,5,5
date_29-5-2024_13.0.10_1.png,288,249,5,5
date_29-5-2024_15.0.11_1.png,288,251,5,5
date_3-5-2024_10.0.11_1.png,412,233,5,5
date_3-5-2024_13.0.10_1.png,412,233,5,5
date_3-5-2024_15.0.11_1.png,412,232,5,5
date_3-6-2024_10.0.11_1.png,297,250,5,5
date_30-4-2024_10.0.10_1.png,405,236,5,5
date_30-4-2024_13.0.10_1.png,409,233,5,5
date_30-4-2024_15.0.11_1.png,410,233,5,5
date_30-5-2024_10.0.11_1.png,288,249,5,5
date_30-5-2024_13.0.10_1.png,289,249,5,5
date_30-5-2024_15.0.10_1.png,289,247,5,5
date_31-5-2024_10.0.11_1.png,292,254,5,5
date_31-5-2024_13.0.10_1.png,293,252,5,5
date_31-5-2024_15.0.11_1.png,292,253,5,5
date_4-5-2024_13.0.11_1.png,412,239,5,5
date_4-5-2024_15.0.11_1.png,412,235,5,5
date_6-6-2024_11.29.55_1.png,314,262,5,5
date_7-5-2024_10.0.11_1.png,412,231,5,5
date_7-5-2024_13.0.6_1.png,413,232,5,5
date_7-5-2024_15.0.6_1.png,412,233,5,5
date_8-5-2024_10.0.10_1.png,412,233,5,5
date_8-5-2024_13.0.6_1.png,413,230,5,5
date_8-5-2024_15.0.7_1.png,413,232,5,5
date_9-5-2024_10.0.11_1.png,413,234,5,5
date_9-5-2024_13.0.6_1.png,415,234,5,5
date_9-5-2024_15.0.7_1.png,417,237,5,5
